abbreviation;meaning
ОТ;охрана труда
ПБ;пожарная безопасность
ГО;гражданская оборона
IT;информационные технологии
It;информационные технологии
it;информационные технологии
айти;информационные технологии
АЙТИ;информационные технологии
АйТи;информационные технологии
SMM;маркетинг в социальных сетях
Smm;маркетинг в социальных сетях
smm;маркетинг в социальных сетях
ИТ;информационные технологии
ит;информационные технологии
Ит;информационные технологии
ИТМ;инженерно технические мероприятия
АХО;административно-хозяйственный объект
ПК;персональный компьютер
ПО;программное обеспечение
CEO;генеральный директор
ceo;генеральный директор
Ceo;генеральный директор
CIO;директор по информационным технологиям
CMO;директор по маркетингу
HRD;директор по персоналу
CCO;коммерческий директор
COO;операционный директор
CTO;технический директор
Cto;технический директор
cto;технический директор
CFO;финансовый директор
Cfo;финансовый директор
cfo;финансовый директор
HR;персонал
Hr;персонал
hr;персонал
BP;бизнес-партнер
PR;публичные отношения
ЧПУ;числовое программное управление
ПТО;планово-технический отдел
СМР;строительно-монтажные работы
ВЭД;внешне-экономическая деятельность
SEO;оптимизация сайта
Seo;оптимизация сайта
seo;оптимизация сайта
CRM;отношения с клиентами
ERP;Система управления предприятием
ЖКХ;жилищно-коммунальное хозяйство
ГСМ;горюче-смазочные материалы
FMCG;товары народного потребления
BTL;прямой маркетинг и продвижение
ATL;реклама
PM;менеджер продукта, менеджер проекта
МСФО;финансы предприятия
IFRS;финансы предприятия
GAAP;финансы предприятия
ACCA;финансы предприятия
ТМЦ;финансы предприятия
CIPA;финансы предприятия
КИПиА;контрольно-измерительные приборы и автоматика
КИП;контрольно-измерительные приборы
гос;государственная
РЭА;радио-электронная аппаратура
РЭА;радио-электронная аппаратура
пу;программное управление
ux/ui;пользовательский опыт-интерфейс
ux;пользовательский опыт
ui;пользователский интерфейс
UX/UI;пользовательский опыт-интерфейс
UX;пользовательский опыт
UI;пользователский интерфейс
