,category_id,category_name,prof_id,prof_name
0,19,Автомобильный бизнес,4,Автомойщик
1,19,Автомобильный бизнес,5,"Автослесарь, автомеханик"
2,19,Автомобильный бизнес,62,Мастер-приемщик
3,19,Автомобильный бизнес,70,"Менеджер по продажам, менеджер по работе с клиентами"
4,5,Административный персонал,8,Администратор
5,5,Административный персонал,33,"Делопроизводитель, архивариус"
6,5,Административный персонал,58,Курьер
7,5,Административный персонал,76,Руководитель АХО
8,5,Административный персонал,84,"Оператор ПК, оператор базы данных"
9,5,Административный персонал,88,Офис-менеджер
10,5,Административный персонал,93,Переводчик
11,5,Административный персонал,110,"Секретарь, помощник руководителя, ассистент"
12,15,Безопасность,22,Военнослужащий
13,15,Безопасность,90,Охранник
14,15,Безопасность,95,Полицейский
15,15,Безопасность,116,Специалист по информационной безопасности
16,15,Безопасность,120,Специалист службы безопасности
17,26,Высший менеджмент,26,"Генеральный директор, исполнительный директор (CEO)"
18,26,Высший менеджмент,36,Директор по информационным технологиям (CIO)
19,26,Высший менеджмент,37,Директор по маркетингу и PR (CMO)
20,26,Высший менеджмент,38,Директор по персоналу (HRD)
21,26,Высший менеджмент,53,Коммерческий директор (CCO)
22,26,Высший менеджмент,80,Начальник производства
23,26,Высший менеджмент,87,Операционный директор (COO)
24,26,Высший менеджмент,125,Технический директор (CTO)
25,26,Высший менеджмент,135,Финансовый директор (CFO)
26,8,Добыча сырья,27,Геодезист
27,8,Добыча сырья,28,Геолог
28,8,Добыча сырья,49,Инженер-технолог
29,8,Добыча сырья,63,Машинист
30,8,Добыча сырья,79,"Научный специалист, исследователь, лаборант"
31,16,"Домашний, обслуживающий персонал",8,Администратор
32,16,"Домашний, обслуживающий персонал",21,Водитель
33,16,"Домашний, обслуживающий персонал",32,Дворник
34,16,"Домашний, обслуживающий персонал",58,Курьер
35,16,"Домашний, обслуживающий персонал",89,"Официант, бармен, бариста"
36,16,"Домашний, обслуживающий персонал",90,Охранник
37,16,"Домашний, обслуживающий персонал",130,"Уборщица, уборщик"
38,14,Закупки,66,Менеджер по закупкам
39,14,Закупки,119,Специалист по тендерам
40,11,Информационные технологии,10,Аналитик
41,11,Информационные технологии,12,"Арт-директор, креативный директор"
42,11,Информационные технологии,25,Гейм-дизайнер
43,11,Информационные технологии,34,"Дизайнер, художник"
44,11,Информационные технологии,36,Директор по информационным технологиям (CIO)
45,11,Информационные технологии,73,Менеджер продукта
46,11,Информационные технологии,96,"Программист, разработчик"
47,11,Информационные технологии,104,Руководитель группы разработки
48,11,Информационные технологии,107,Руководитель проектов
49,11,Информационные технологии,112,Сетевой инженер
50,11,Информационные технологии,113,Системный администратор
51,11,Информационные технологии,114,Системный инженер
52,11,Информационные технологии,116,Специалист по информационной безопасности
53,11,Информационные технологии,121,Специалист технической поддержки
54,11,Информационные технологии,124,Тестировщик
55,11,Информационные технологии,125,Технический директор (CTO)
56,11,Информационные технологии,126,Технический писатель
57,24,"Искусство, развлечения, масс-медиа",12,"Арт-директор, креативный директор"
58,24,"Искусство, развлечения, масс-медиа",13,"Артист, актер, аниматор"
59,24,"Искусство, развлечения, масс-медиа",20,"Видеооператор, видеомонтажер"
60,24,"Искусство, развлечения, масс-медиа",25,Гейм-дизайнер
61,24,"Искусство, развлечения, масс-медиа",34,"Дизайнер, художник"
62,24,"Искусство, развлечения, масс-медиа",41,"Журналист, корреспондент"
63,24,"Искусство, развлечения, масс-медиа",55,"Копирайтер, редактор, корректор"
64,24,"Искусство, развлечения, масс-медиа",98,Продюсер
65,24,"Искусство, развлечения, масс-медиа",103,"Режиссер, сценарист"
66,24,"Искусство, развлечения, масс-медиа",139,"Фотограф, ретушер"
67,6,"Маркетинг, реклама, PR",1,Event-менеджер
68,6,"Маркетинг, реклама, PR",2,PR-менеджер
69,6,"Маркетинг, реклама, PR",3,"SMM-менеджер, контент-менеджер"
70,6,"Маркетинг, реклама, PR",10,Аналитик
71,6,"Маркетинг, реклама, PR",12,"Арт-директор, креативный директор"
72,6,"Маркетинг, реклама, PR",34,"Дизайнер, художник"
73,6,"Маркетинг, реклама, PR",37,Директор по маркетингу и PR (CMO)
74,6,"Маркетинг, реклама, PR",55,"Копирайтер, редактор, корректор"
75,6,"Маркетинг, реклама, PR",68,Менеджер по маркетингу и рекламе
76,6,"Маркетинг, реклама, PR",70,"Менеджер по продажам, менеджер по работе с клиентами"
77,6,"Маркетинг, реклама, PR",71,Менеджер по работе с партнерами
78,6,"Маркетинг, реклама, PR",99,Промоутер
79,23,"Медицина, фармацевтика",8,Администратор
80,23,"Медицина, фармацевтика",15,Ассистент врача
81,23,"Медицина, фармацевтика",19,Ветеринарный врач
82,23,"Медицина, фармацевтика",24,Врач
83,23,"Медицина, фармацевтика",29,"Главный врач, заведующий отделением"
84,23,"Медицина, фармацевтика",42,Заведующий аптекой
85,23,"Медицина, фармацевтика",64,Медицинская сестра
86,23,"Медицина, фармацевтика",65,Медицинский представитель
87,23,"Медицина, фармацевтика",133,Фармацевт-провизор
88,25,"Наука, образование",17,Бизнес-тренер
89,25,"Наука, образование",23,"Воспитатель, няня"
90,25,"Наука, образование",79,"Научный специалист, исследователь, лаборант"
