,category_id,category_name,prof_id,prof_name
0,1,"Информационные технологии, интернет, телеком",1.395,Банковское ПО
1,1,"Информационные технологии, интернет, телеком",1.400,Оптимизация сайта (SEO)
2,1,"Информационные технологии, интернет, телеком",1.420,Администратор баз данных
3,1,"Информационные технологии, интернет, телеком",1.474,Стартапы
4,1,"Информационные технологии, интернет, телеком",1.475,Игровое ПО
5,1,"Информационные технологии, интернет, телеком",1.536,CRM системы
6,1,"Информационные технологии, интернет, телеком",1.744,Другое
7,1,"Информационные технологии, интернет, телеком",1.3,"CTO, CIO, Директор по IT"
8,1,"Информационные технологии, интернет, телеком",1.9,Web инженер
9,1,"Информационные технологии, интернет, телеком",1.10,Web мастер
10,1,"Информационные технологии, интернет, телеком",1.25,Аналитик
11,1,"Информационные технологии, интернет, телеком",1.30,Арт-директор
12,1,"Информационные технологии, интернет, телеком",1.50,Системы управления предприятием (ERP)
13,1,"Информационные технологии, интернет, телеком",1.82,Инженер
14,1,"Информационные технологии, интернет, телеком",1.89,Интернет
15,1,"Информационные технологии, интернет, телеком",1.110,Компьютерная безопасность
16,1,"Информационные технологии, интернет, телеком",1.113,"Консалтинг, Аутсорсинг"
17,1,"Информационные технологии, интернет, телеком",1.116,Контент
18,1,"Информационные технологии, интернет, телеком",1.117,Тестирование
19,1,"Информационные технологии, интернет, телеком",1.137,Маркетинг
20,1,"Информационные технологии, интернет, телеком",1.161,Мультимедиа
21,1,"Информационные технологии, интернет, телеком",1.172,"Начальный уровень, Мало опыта"
22,1,"Информационные технологии, интернет, телеком",1.203,Передача данных и доступ в интернет
23,1,"Информационные технологии, интернет, телеком",1.211,"Поддержка, Helpdesk"
24,1,"Информационные технологии, интернет, телеком",1.221,"Программирование, Разработка"
25,1,"Информационные технологии, интернет, телеком",1.225,Продажи
26,1,"Информационные технологии, интернет, телеком",1.232,Продюсер
27,1,"Информационные технологии, интернет, телеком",1.246,Развитие бизнеса
28,1,"Информационные технологии, интернет, телеком",1.270,Сетевые технологии
29,1,"Информационные технологии, интернет, телеком",1.272,Системная интеграция
30,1,"Информационные технологии, интернет, телеком",1.273,Системный администратор
31,1,"Информационные технологии, интернет, телеком",1.274,Системы автоматизированного проектирования
32,1,"Информационные технологии, интернет, телеком",1.277,"Сотовые, Беспроводные технологии"
33,1,"Информационные технологии, интернет, телеком",1.295,Телекоммуникации
34,1,"Информационные технологии, интернет, телеком",1.296,Технический писатель
35,1,"Информационные технологии, интернет, телеком",1.327,Управление проектами
36,1,"Информационные технологии, интернет, телеком",1.359,Электронная коммерция
37,20,"Строительство, недвижимость",20.396,Эксплуатация
38,20,"Строительство, недвижимость",20.445,ЖКХ
39,20,"Строительство, недвижимость",20.484,Геодезия и картография
40,20,"Строительство, недвижимость",20.490,Рабочие строительных специальностей
41,20,"Строительство, недвижимость",20.525,Землеустройство
42,20,"Строительство, недвижимость",20.526,Оценка
43,20,"Строительство, недвижимость",20.527,"Отопление, вентиляция и кондиционирование"
44,20,"Строительство, недвижимость",20.528,Водоснабжение и канализация
45,20,"Строительство, недвижимость",20.573,Тендеры
46,20,"Строительство, недвижимость",20.755,Другое
47,20,"Строительство, недвижимость",20.20,Агент
48,20,"Строительство, недвижимость",20.58,"Гостиницы, Магазины"
49,20,"Строительство, недвижимость",20.63,Дизайн/Оформление
50,20,"Строительство, недвижимость",20.70,Жилье
51,20,"Строительство, недвижимость",20.83,Инженер
52,20,"Строительство, недвижимость",20.186,"Начальный уровень, Мало опыта"
53,20,"Строительство, недвижимость",20.189,Нежилые помещения
54,20,"Строительство, недвижимость",20.233,"Проектирование, Архитектура"
55,20,"Строительство, недвижимость",20.287,Строительство
56,20,"Строительство, недвижимость",20.325,Управление проектами
57,20,"Строительство, недвижимость",20.375,Девелопер
58,20,"Строительство, недвижимость",20.387,Прораб
