"NAME";"Kod";"global_id";"KC";
"ВОЕННОСЛУЖАЩИЕ";"0";"62854761";"";
"Офицеры действительной военной службы";"01";"62854762";"2";
"Офицеры действительной военной службы";"011";"62854763";"5";
"Офицеры действительной военной службы";"0110";"62854764";"5";
"Военнослужащие неофицерского состава";"02";"62854765";"4";
"Военнослужащие неофицерского состава";"021";"62854766";"7";
"Военнослужащие неофицерского состава";"0210";"62854767";"7";
"Военнослужащие рядового состава";"03";"62854768";"6";
"Военнослужащие рядового состава";"031";"62854769";"9";
"Военнослужащие рядового состава";"0310";"62854770";"9";
"РУКОВОДИТЕЛИ";"1";"62854771";"";
"Руководители высшего звена, высшие должностные лица и законодатели";"11";"62854772";"3";
"Руководители (представители) федеральных и региональных органов законодательной, судебной и исполнительной власти, их аппаратов и иных органов";"111";"62854773";"6";
"Руководители федеральных и региональных органов законодательной власти и их аппаратов, депутаты законодательных собраний";"1111";"62854774";"7";
"Руководители (представители) федеральных и региональных органов исполнительной и судебной власти и их аппаратов";"1112";"62854775";"3";
"Руководители органов местного самоуправления";"1113";"62854776";"7";
"Высшие должностные лица политических и общественных организаций";"1114";"62854777";"0";
"Руководители учреждений, организаций и предприятий";"112";"62854778";"9";
"Руководители учреждений, организаций и предприятий";"1120";"62854779";"9";
"Управляющие в корпоративном секторе и в других организациях";"12";"62854780";"5";
"Управляющие финансово-экономической и административной деятельностью";"121";"62854781";"8";
"Управляющие финансовой деятельностью";"1211";"62854782";"1";
"Управляющие трудовыми ресурсами";"1212";"62854783";"5";
"Руководители в области определения политики и планирования деятельности";"1213";"62854784";"9";
"Управляющие финансово-экономической и административной деятельностью, не входящие в другие группы";"1219";"62854785";"0";
"Руководители служб по сбыту, маркетингу и развитию";"122";"62854786";"0";
"Руководители служб по сбыту и маркетингу";"1221";"62854787";"4";
"Руководители служб по рекламе и связям с общественностью";"1222";"62854788";"8";
"Руководители подразделений по научным исследованиям и разработкам";"1223";"62854789";"1";
"Руководители подразделений в сфере производства и специализированных сервисных услуг";"13";"62854790";"7";
"Руководители подразделений в сельском, лесном и рыбном хозяйстве";"131";"62854791";"9";
"Руководители подразделений в сельском и лесном хозяйстве";"1311";"62854792";"3";
"Руководители подразделений в рыбоводстве и рыболовстве";"1312";"62854793";"7";
"Руководители подразделений (управляющие) в промышленности, строительстве, на транспорте и в других сферах";"132";"62854794";"2";
"Руководители подразделений (управляющие) в обрабатывающей промышленности";"1321";"62854795";"6";
"Руководители подразделений (управляющие) в добывающей промышленности";"1322";"62854796";"4";
"Руководители подразделений (управляющие) в строительстве";"1323";"62854797";"3";
"Руководители служб по снабжению, распространению товаров и аналогичным видам деятельности";"1324";"62854798";"7";
"Руководители подразделений (управляющие) на транспорте";"1325";"62854799";"0";
"Руководители служб и подразделений в сфере информационно-коммуникационных технологий";"133";"62854800";"5";
"Руководители служб и подразделений в сфере информационно-коммуникационных технологий";"1330";"62854801";"5";
"Руководители служб в сфере социальных услуг";"134";"62854802";"8";
"Руководители служб и структурных подразделений по присмотру и уходу за детьми";"1341";"62854803";"1";
"Руководители служб в сфере здравоохранения";"1342";"62854804";"5";
"Руководители служб по уходу за престарелыми";"1343";"62854805";"9";
"Руководители служб в сфере социального обеспечения";"1344";"62854806";"2";
"Руководители служб и подразделений в сфере образования";"1345";"62854807";"6";
"Руководители служб и подразделений в сфере финансовой деятельности и страхования";"1346";"62854808";"5";
"Руководители служб в сфере социальных услуг, не входящие в другие группы";"1349";"62854809";"0";
"Руководители в гостиничном и ресторанном бизнесе, розничной и оптовой торговле и родственных сферах обслуживания";"14";"62854810";"9";
"Руководители отелей (гостиниц) и ресторанов";"141";"62854811";"1";
"Руководители отелей (гостиниц)";"1411";"62854812";"5";
"Руководители ресторанов (вагонов-ресторанов)";"1412";"62854813";"9";
"Руководители (управляющие) в розничной и оптовой торговле";"142";"62854814";"4";
"Руководители (управляющие) в розничной и оптовой торговле";"1420";"62854815";"4";
"Руководители в других сферах обслуживания";"143";"62854816";"7";
"Руководители культурных центров и других мест отдыха";"1431";"62854817";"0";
"Руководители организаций физической культуры и спорта";"1432";"62854818";"4";
"Руководители иных сфер обслуживания, не входящие в другие группы";"1439";"62854819";"0";
