prof_tokens,prof_names
автомойщик,автомойщик
автослесарь,автослесарь
автомеханик,автомеханик
мастер-приёмщик,мастер-приемщик
продажа,менеджер по продажам
клиент,менеджер по работе с клиентами
администратор,администратор
делопроизводитель,делопроизводитель
архивариус,архивариус
курьер,курьер
административно-хозяйственный объект руководитель,руководитель ахо
компьютер оператор персональный,оператор пк
база данные оператор,оператор базы данных
офис-менеджер,офис-менеджер
переводчик,переводчик
секретарь,секретарь
помощник руководитель,помощник руководителя
ассистент,ассистент
военнослужащий,военнослужащий
охранник,охранник
полицейский,полицейский
безопасность информационный специалист,специалист по информационной безопасности
безопасность служба специалист,специалист службы безопасности
генеральный директор,"генеральный директор, ceo"
директор исполнительный,исполнительный директор
директор информационный технология,"директор по информационным технологиям, cio"
директор маркетинг отношение публичный,директор по маркетингу и pr
директор маркетинг,cmo
директор персонал,"директор по персоналу, hrd"
директор коммерческий,"коммерческий директор, cco"
начальник производство,начальник производства
директор операционный,"операционный директор, coo"
директор технический,"технический директор, cto"
директор финансовый,"финансовый директор, cfo"
геодезист,геодезист
геолог,геолог
инженер-технолог,инженер-технолог
машинист,машинист
научный специалист,научный специалист
исследователь,исследователь
лаборант,лаборант
водитель,водитель
дворник,дворник
официант,официант
бармен,бармен
барист,бариста
уборщица,уборщица
уборщик,уборщик
закупка,менеджер по закупкам
специалист тендер,специалист по тендерам
аналитик,аналитик
арт-директор,арт-директор
директор креативный,креативный директор
гейм-дизайнер,гейм-дизайнер
дизайнер,дизайнер
художник,художник
продукт,менеджер продукта
программист,программист
разработчик,разработчик
разработка руководитель,руководитель группы разработки
проект руководитель,руководитель проектов
инженер сетевой,сетевой инженер
администратор системный,системный администратор
инженер системный,системный инженер
поддержка специалист технический,специалист технической поддержки
тестировщик,тестировщик
писатель технический,технический писатель
артист,артист
актёр,актер
аниматор,аниматор
видеооператор,видеооператор
видеомонтажёр,видеомонтажер
журналист,журналист
корреспондент,корреспондент
копирайтер,копирайтер
редактор,редактор
корректор,корректор
продюсер,продюсер
режиссёр,режиссер
сценарист,сценарист
фотограф,фотограф
ретушёр,ретушер
мероприятие,event-менеджер
отношение публичный,pr-менеджер
маркетинг сеть социальный,smm-менеджер
контент-менеджер,контент-менеджер
маркетинг реклама,менеджер по маркетингу и рекламе
партнёр,менеджер по работе с партнерами
промоутер,промоутер
ассистент врач,ассистент врача
ветеринарный врач,ветеринарный врач
врач,врач
врач главный,главный врач
отделение,заведующий отделением
аптека,заведующий аптекой
медицинский сестра,медицинская сестра
медицинский представитель,медицинский представитель
фармацевт-провизор,фармацевт-провизор
бизнес-тренер,бизнес-тренер
воспитатель,воспитатель
няня,няня
психолог,психолог
учитель,учитель
преподаватель,преподаватель
педагог,педагог
агент недвижимость,агент по недвижимости
кассир-операционист,кассир-операционист
координатор продажа,координатор отдела продаж
кредитный специалист,кредитный специалист
call-центр оператор,оператор call-центра
контактный специалист центр,специалист контактного центра
продавец-консультант,продавец-консультант
продавец-кассир,продавец-кассир
клиентский обслуживание руководитель,руководитель отдела клиентского обслуживания
продажа руководитель,руководитель отдела продаж
агент страховой,страховой агент
представитель торговый,торговый представитель
инженер качество,инженер по качеству
безопасность инженер охрана техника труд,инженер по охране труда и технике безопасности
инженер эксплуатация,инженер по эксплуатации
инженер-конструктор,инженер-конструктор
инженер-проектировщик,инженер-проектировщик
начальник смена,начальник смены
мастер,мастер участка
линия оператор производственный,оператор производственной линии
оператор программный станок управление числовой,оператор станков с чпу
сварщик,сварщик
инженер сервисный,сервисный инженер
механик,механик
слесарь,слесарь
токарь,токарь
фрезеровщик,фрезеровщик
шлифовщик,шлифовщик
швея,швея
портной,портной
закройщик,закройщик
электромонтажник,электромонтажник
энергетик,энергетик
грузчик,грузчик
кладовщик,кладовщик
маляр,маляр
штукатур,штукатур
монтажник,монтажник
разнорабочий,разнорабочий
упаковщик,упаковщик
комплектовщик,комплектовщик
администратор магазин,администратор магазина
администратор зал торговый,администратор торгового зала
директор магазин,директор магазина
директор магазин сеть,директор сети магазинов
мерчандайзер,мерчандайзер
супервайзер,супервайзер
товаровед,товаровед
агроном,агроном
зоотехник,зоотехник
косметолог,косметолог
массажист,массажист
мастер ногтевой сервис,мастер ногтевого сервиса
парикмахер,парикмахер
фитнес-тренер,фитнес-тренер
зал инструктор тренажёрный,инструктор тренажерного зала
менеджер/консультант стратегия,менеджер/консультант по стратегии
аналитик финансовый,финансовый аналитик
аналитик инвестиционный,инвестиционный аналитик
андеррайтер,андеррайтер
оценщик,оценщик
архитектор,архитектор
главный инженер проект,главный инженер проекта
инженер планово-технический,инженер пто
инженер-сметчик,инженер-сметчик
прораб,прораб
мастер строительно-монтажный,мастер смр
проект руководитель строительный,руководитель строительного проекта
диспетчер,диспетчер
логистика,менеджер по логистике
внешне-экономический деятельность,менеджер по вэд
начальник склад,начальник склада
туризм,менеджер по туризму
ресторан,менеджер ресторана
повар,повар
пекарь,пекарь
кондитер,кондитер
хостёс,хостес
персонал,менеджер по персоналу
кадр специалист,специалист по кадрам
персонал подбор специалист,специалист по подбору персонала
аудитор,аудитор
бухгалтер,бухгалтер
казначей,казначей
контролёр финансовый,финансовый контролер
финансовый,финансовый менеджер
экономист,экономист
юрисконсульт,юрисконсульт
юрист,юрист
