,professions
0,автомойщик
1,автослесарь
2,автомеханик
3,мастер-приемщик
4,"менеджер по продажам, руководитель отдела продаж"
5,менеджер по работе с клиентами
6,администратор
7,делопроизводитель
8,архивариус
9,курьер
10,оператор пк
11,оператор базы данных
12,офис-менеджер
13,переводчик
14,секретарь
15,помощник руководителя
16,ассистент
17,военнослужащий
18,охранник
19,полицейский
20,специалист по информационной безопасности
21,специалист службы безопасности
22,генеральный директор
23,исполнительный директор
24,директор по информационным технологиям
25,директор по маркетингу и pr
26,директор по персоналу
27,коммерческий директор
28,начальник производства
29,операционный директор
30,технический директор
31,финансовый директор
32,геодезист
33,геолог
34,инженер-технолог
35,машинист
36,научный специалист
37,исследователь
38,лаборант
39,водитель
40,дворник
41,официант
42,бармен
43,бариста
44,уборщица
45,уборщик
46,менеджер по закупкам
47,специалист по тендерам
48,аналитик
49,арт-директор
50,креативный директор
51,гейм-дизайнер
52,дизайнер
53,художник
54,менеджер продукта
55,программист
56,разработчик
57,руководитель группы разработки
58,руководитель проектов
59,сетевой инженер
60,системный администратор
61,системный инженер
62,специалист технической поддержки
63,тестировщик
64,технический писатель
65,артист
66,актер
67,аниматор
68,видеооператор
69,видеомонтажер
70,журналист
71,корреспондент
72,копирайтер
73,редактор
74,корректор
75,продюсер
76,режиссер
77,сценарист
78,фотограф
79,ретушер
80,контент-менеджер
81,менеджер по маркетингу и рекламе
82,менеджер по работе с партнерами
83,промоутер
84,ассистент врача
85,ветеринарный врач
86,врач
87,главный врач
88,заведующий отделением
89,заведующий аптекой
90,медицинская сестра
91,медицинский представитель
92,фармацевт-провизор
93,бизнес-тренер
94,воспитатель
95,няня
96,психолог
97,учитель
98,преподаватель
99,педагог
100,агент по недвижимости
101,кассир-операционист
102,координатор отдела продаж
103,кредитный специалист
104,оператор call-центра
105,специалист контактного центра
106,продавец-консультант
107,продавец-кассир
108,руководитель отдела клиентского обслуживания
109,страховой агент
110,торговый представитель
111,инженер по качеству
112,инженер по охране труда и технике безопасности
113,инженер по эксплуатации
114,инженер-конструктор
115,инженер-проектировщик
116,начальник смены
117,мастер участка
118,оператор производственной линии
119,оператор станков с чпу
120,сварщик
121,сервисный инженер
122,механик
123,токарь
124,фрезеровщик
125,шлифовщик
126,швея
127,портной
128,закройщик
129,электромонтажник
130,энергетик
131,грузчик
132,кладовщик
133,маляр
134,штукатур
135,монтажник
136,разнорабочий
137,упаковщик
138,комплектовщик
139,администратор магазина
140,администратор торгового зала
141,директор магазина
142,директор сети магазинов
143,мерчандайзер
144,супервайзер
145,товаровед
146,агроном
147,зоотехник
148,косметолог
149,массажист
150,мастер ногтевого сервиса
151,парикмахер
152,фитнес-тренер
153,инструктор тренажерного зала
154,менеджер/консультант по стратегии
155,финансовый аналитик
156,инвестиционный аналитик
157,андеррайтер
158,оценщик
159,архитектор
160,главный инженер проекта
161,инженер пто
162,инженер-сметчик
163,прораб
164,мастер смр
165,руководитель строительного проекта
166,диспетчер
167,менеджер по логистике
168,начальник склада
169,менеджер по туризму
170,менеджер ресторана
171,повар
172,пекарь
173,кондитер
174,хостес
175,менеджер по персоналу
176,специалист по кадрам
177,специалист по подбору персонала
178,аудитор
179,бухгалтер
180,казначей
181,финансовый контролер
182,финансовый менеджер
183,экономист
184,юрисконсульт
185,юрист
